country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Dominica;NA;2056.226;2281.6;2440.344;2644.022;2776.393;3043.573;3327.544;3727.573;3880.278;4258.944;4478.382;4673.043;4886.787;4992.415;5251.111;5512.836;5729.975;6012.648;6120.601;6403.277;6539.06;6459.18;7002.083;7415.204;7701.797;8310.437;9082.337;9925.321;9891.011;10080.702;10275.542;10361.755;10479.472;11141.864;10970.73;11363.882;10474.473;10786.833;12008.092;12850.776;13663.114;14434.492;15030.693;15560.71
Dominican Republic;2372.824;2647.855;2794.079;2967.515;3039.98;2996.789;3088.878;3401.824;3513.93;3729.813;3587.037;3679.241;4110.021;4435.464;4568.292;4847.435;5147.493;5612.092;5960.493;6309.769;6653.52;6872.406;7198.118;7135.873;7420.802;8270.212;9196.261;10030.183;10433.412;10498.666;11387.229;11862.307;12289.032;12975.249;14005.702;14985.093;15996.531;16900.462;18346.099;19410.756;20625.367;21874.833;23201.199;24602.772;26091.946
Ecuador;3255.482;3599.16;3760.66;3695.199;3883.222;4073.567;4175.313;3923.297;4373.565;4448.131;4643.602;4932.068;5111.286;5223.355;5449.706;5582.347;5684.696;5938.275;6108.876;5817.783;5924.379;6158.209;6373.149;6555.084;7159.423;7677.066;8113.821;8364.301;8907.447;8863.549;9113.659;9868.982;10451.503;10981.37;11425.338;11377.258;11182.44;11490.291;11759.598;11742.686;11866.24;12138.771;12542.226;12932.261;13336.569
Egypt;2252.474;2450.168;2717.108;2992.494;3258.696;3509.902;3656.234;3822.765;4032.989;4223.25;4444.054;4595.757;4618.968;4766.897;4969.657;5193.885;5423.123;5725.136;6092.926;6421.035;6725.835;6961.535;7148.987;7361.911;7709.952;8137.136;8775.551;9462.365;10118.941;10437.309;10848.159;11022.11;11218.815;11472.355;11747.99;12069.097;12554.826;12666.781;13357.694;14023.209;14800.337;15645.585;16531.445;17463.924;18281.565
El Salvador;2147.849;2191.611;2163.303;2269.018;2367.671;2438.128;2466.782;2560.306;2662.932;2750.453;2940.16;3038.718;3282.976;3510.818;3706.516;3913.961;3975.698;4127.365;4247.539;4364.214;4481.263;4588.454;4710.82;4848.77;4998.543;5288.45;5644.309;5880.748;6099.364;5985.957;6143.41;6462.89;6717.706;6928.704;7113.494;7292.477;7483.031;7727.053;8041.094;8312.907;8593.452;8881.33;9173.466;9474.937;9787.594
Equatorial Guinea;354.415;387.936;391.201;394.481;384.017;421.353;400.695;413.272;425.94;424.73;438.351;433.539;570.939;624.393;719.636;896.858;1343.475;3260.487;3955.34;4871.532;10067.343;15808.729;18441.694;20626.519;26468.181;28265.984;29650.013;33528.826;38452.361;37508.417;33033.315;34363.153;36315.497;33949.352;33316.932;29400.475;26063.62;24382.216;22717.509;21300.128;19960.892;18688.817;17437.512;16701.233;16079
Eritrea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;506.947;586.704;723.63;750.026;820.871;881.707;884.609;870.79;767.133;826.881;839.681;808.548;818.629;842.029;836.03;847.929;678.633;748.015;818.556;1025.78;1040.817;927.289;1209.991;950.234;1010.222;912.089;1028.421;1059.624;1102.709;1151.142;1237.975;1302.191;1371.267
Estonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7328.403;7533.174;8013.58;8690.371;10108.235;10767.592;10847.014;12151.327;13243.277;14459.223;15941.861;17583.757;19966.107;22702.995;25193.2;24441.63;21113.875;21988.191;24191.296;25513.323;26404.209;27752.108;28556.971;29603.361;31856.154;34156.872;35852.914;37605.623;39445.971;41364.296;43386.83;45525.922
Eswatini;1885.121;2142.193;2242.265;2249.893;2312.506;2344.565;2723.164;2939.48;3134.922;3425.669;3773.263;3859.844;3982.294;4120.31;4227.177;4433.903;4588.184;4705.739;4836.48;5003.801;5157.398;5277.137;5544.457;5813.591;6131.107;6641.9;7189.203;7642.602;7797.999;7922.67;8259.284;8559.796;9129.192;9580.276;9777.915;10038.067;10199.895;10529.887;10931.801;11160.81;11319.173;11503.448;11672.979;11848.421;12014.768
Ethiopia;313.395;334.967;349.118;379.264;371.673;328.853;356.365;402.7;405.986;406.443;418.451;388.009;349.403;392.053;401.075;421.181;472.658;480.566;452.984;475.437;519.808;553.901;556.231;522.615;584.285;661.206;740.308;828.362;924.266;1008.311;1110.42;1242.961;1355.328;1491.77;1649.483;1811.012;1945.025;2148.378;2332.96;2511.048;2701.98;2907.755;3124.371;3344.002;3576.308
Fiji;2456.774;2782.763;2847.878;2764.512;3087.392;3017.405;3251.12;3079.595;3294.772;3823.177;4162.508;4153.557;4471.538;4659.464;4962.533;5157.966;5462.129;5383.694;5475.417;5994.619;5981.73;6185.224;6438.821;6564.974;7056.788;7132.827;7437.408;7517.367;7702.964;7616.377;7898.454;8241.879;8478.298;8993.008;9627.455;10136.318;10406.016;11079.734;11685.046;12147.087;12689.451;13292.085;13915.311;14567.202;15251.346
Finland;9456.724;10449.236;11379.486;12119.891;12885.82;13696.346;14303.543;15132.837;16439.613;17896.142;18616.274;18020.161;17710.086;17904.03;18920.858;20048.195;21087.356;22723.445;24155.755;25532.589;27512.071;28786.618;29654.508;30740.053;32722.535;34568.164;36924.612;39721.139;40604.467;37348.835;38732.05;40377.73;40370.109;40575.9;40880.489;41357.501;42822.293;44825.902;46595.892;47974.652;49547.875;51221.473;52885.653;54585.422;56361.006
France;10728.194;11803.425;12774.283;13361.832;13990.859;14597.797;15169.883;15865.883;17117.061;18460.714;19604.555;20385.05;21082.997;21350.144;22244.347;23113.913;23794.158;24693.212;25786.117;26962.028;28470.277;29467.38;30060.799;30657.417;32157.706;33457.66;35063.47;36642.442;37245.646;36258.206;37217.313;38640.044;39314.009;40030.973;40949.486;41658.753;42440.34;44114.517;45893.046;47222.641;48640.048;50171.105;51745.818;53365.491;55064.796
