"country_text_id","year","order_safety_gdp_perc_oecd_num_ds","order_safety_gdpcapita_oecd_num_ds","hom_rate_unodc_num_ds","theft_rate_unodc_num_ds","burg_rate_unodc_num_ds","crime_rate_unodc_num_ds","orgacrime_gcr_num_ds","reliab_police_gcr_num_ds","trust_gwp_num_ds","domsec_ds"
"SUR",2005,0.610341132815223,-1.28679015015214,-1.06525521880887,0.840213201436929,0.0637699576292524,0.879950492976449,0.103300521837396,-0.209697810555693,0.221177813989551,-0.896513555724218
"SUR",2006,0.846493580390336,-1.4076304128303,-0.988656751854821,1.1070764003157,0.19356387575142,0.865894257717388,0.124642987256446,-0.0959875137475153,0.0223672450973894,-0.819378706345143
"SUR",2007,0.524641508540481,-0.96639582135005,-0.754082766460088,0.8928898805083,0.214022511567917,0.685008292837437,0.281810200151012,-0.203993166654033,0.320648703474045,-0.720201746795578
"SUR",2008,0.612780548466507,-1.02829392912809,-0.712935654332646,0.877983341426181,0.176790210406185,0.675955054546076,0.345385125589586,-0.0258606923796354,0.310938417708747,-0.583123916219412
"SUR",2013,0.294686425671959,-0.65154684766872,-0.359013799247454,0.922044411027497,0.186046857051196,0.863695726972949,0.165227280478558,0.363454932789755,0.878325931817576,-0.0690683703840143
"SUR",2014,0.456615884295832,-0.549367943921865,-0.434819428848722,1.06250694720294,0.264812676484579,0.936889137916183,0.0506533616677428,0.147946842039907,0.878325931817576,-0.233774007300294
"SUR",2015,0.55666667709782,-0.664558477861509,-0.478272089393107,1.19247324748129,0.0381009024670124,0.734866453648094,-0.0460596894097601,0.19043339565869,0.549478877456874,-0.243526252976726
"SUR",2016,0.440847158353337,-0.989600026792544,-0.622798392015024,0.950568872411632,0.2584606287231,0.806637934254052,0.277012821863981,0.12737910507907,0.529434331355947,-0.424806846365825
"SUR",2017,0.518673101104321,-0.804327861221711,-0.388020533628386,0.924965367532374,0.00575894358863559,0.730209440426772,0.00687576339058219,0.200873930392788,0.866892866734372,-0.25192784867822
"SVK",1994,2.77789288283395,-0.740946933400517,0.245168635301227,0.431514693891586,0.925901020962913,0.554339949751767,0.130337702873266,-0.991939065844429,-1.20377951903909,-1.03700978832514
"SVK",1995,2.98927844159595,-0.788773742060289,0.0802347869262904,0.109796124599793,0.753027491996171,0.222811386999974,0.0260243857076122,-0.818619839796763,-1.20902218540216,-0.952727318245231
"SVK",1996,2.98927844159595,-0.590468341309185,0.22801938101569,-0.145329189812566,0.594339202257698,0.0709938738343975,-0.067978123008109,-0.895677102276642,-1.36424885530625,-0.920364961975745
"SVK",1997,2.98927844159595,-0.629436662015528,0.173891303068209,-0.240178446986691,0.508685478217363,-0.0189323437115571,0.173661995223411,-0.763689915066847,-1.10689001059631,-0.838554406118059
"SVK",1998,2.98927844159595,-0.581226951477764,0.260309743631843,-0.0142512747183871,0.480302372544085,0.0986041606568734,-0.116030984792463,-0.877636345044096,-1.41056073308825,-0.894816427578949
"SVK",1999,2.98927844159595,-0.725303362406017,0.169354534574226,-0.0908654357777247,0.498587150617207,0.0601740720501863,-0.0442909290217908,-1.15987510398454,-1.39808376052778,-1.18798391677683
